Ree,Network,Ksyn,CV,ST,fexp,taus
1,1,0,1.7715917247409,0.0563215420620953,-1.51663939264672,0.662531688636648
1,1,0.1,1.91600887803577,0.11018353269917,-1.59035763829979,71.9255007634956
1,1,0.2,1.95900379803528,0.0911483725801757,-1.56690894200956,26.7523959933189
1,1,0.3,2.0199248418284,0.0384826394347375,-1.4950605735214,155.362780682993
1,1,0.4,2.0838492075245,0.109364233824918,-1.60666714643712,43.8368368865566
1,1,0.5,2.09316523268355,0.0102516021087649,-1.57878971773014,99.5287071125424
1,2,0,1.56198242476874,0.117249330129854,-1.57298530047459,NaN
1,2,0.1,1.60897278087059,0.123513761503826,-1.53101988321939,14.2327162849899
1,2,0.2,1.72383551467403,0.106071695159927,-1.49369467839308,26.4811116658841
1,2,0.3,1.79286890101613,0.0127731663607568,-1.56210748259608,58.4436301528703
1,2,0.4,1.85006503383337,0.0782435300757116,-1.57169877288411,152.047805520929
1,2,0.5,1.879218569328,0.0811279698851392,-1.52321622506796,102.121185906161
1,3,0,1.47317133535493,0.142812619060049,-1.53145967595558,NaN
1,3,0.1,1.56601364599131,0.0385143270421816,-1.58661572324507,NaN
1,3,0.2,1.61132601929304,0.0919337118004777,-1.50062327064673,99.172823597888
1,3,0.3,1.62001889171864,0.0593947119884878,-1.54671524647063,194.889646838889
1,3,0.4,1.71434807015767,0.0284370312233868,-1.54907699745608,65.718882444995
1,3,0.5,1.78579722608786,0.0418966712213168,-1.54857374124023,223.482445349316
1,4,0,1.57778427092609,0.151989415466981,-1.52230410262547,NaN
1,4,0.1,1.68040077272798,0.146823959681384,-1.54709933352285,16.2009849908063
1,4,0.2,1.60961995513993,0.0697664250656682,-1.51831560674901,132.406346314963
1,4,0.3,1.75052366513483,0.0723470240597761,-1.57520267221532,112.341560710329
1,4,0.4,1.84177462639653,0.0177227426054237,-1.52662626283029,NaN
1,4,0.5,1.87120243311868,0.0310448738484244,-1.56582442987679,64.201429208555
1,5,0,1.54402611840477,0.0946107803659465,-1.50303047700665,NaN
1,5,0.1,1.53680764693598,0.12549659217176,-1.51367362827326,NaN
1,5,0.2,1.65335355090924,0.0775832677513881,-1.52996954387251,67.0229804724652
1,5,0.3,1.65520313599816,0.0845174106573864,-1.52033368988662,38.5156789763192
1,5,0.4,1.74800727475013,0.0614592601941799,-1.57666364703843,226.328362854029
1,5,0.5,1.73681013889496,0.103508489814107,-1.52483182953205,110.814625691449
1,6,0,1.52204541641573,0.10319742672354,-1.54408587828417,22.2545410202683
1,6,0.1,1.52985559891283,0.0607191782914945,-1.53552711364962,NaN
1,6,0.2,1.60078925864691,0.0965963968550668,-1.56962825910749,96.5537782297731
1,6,0.3,1.65528451190026,0.144297349742985,-1.53857481749882,131.672927587116
1,6,0.4,1.82898822402468,0.0739265357272176,-1.55283387304669,49.4176680712756
1,6,0.5,1.74049612553558,0.163930330334404,-1.58038950890947,70.6567124340835
1,7,0,1.49993834020154,0.0902677192847976,-1.50832606374029,8.25921931977409
1,7,0.1,1.61733743599798,0.144631436251387,-1.5363609092251,NaN
1,7,0.2,1.59450851435929,0.175863954822737,-1.50501178316396,25.6854851526319
1,7,0.3,1.65532637150359,0.0282144327213751,-1.54081858793954,73.2591543285809
1,7,0.4,1.73320361171779,0.102409283084652,-1.57623951049062,17.1413328457393
1,7,0.5,1.81947142518227,0.00369709776188298,-1.56800295450104,60.9206993599003
1,8,0,1.50134314755148,0.110375112312087,-1.53125538610852,NaN
1,8,0.1,1.59908243073748,0.119303102761495,-1.53508950464064,67.0195894349471
1,8,0.2,1.60349139483643,0.0762198549955219,-1.53571140292517,NaN
1,8,0.3,1.72163715258598,0.0846836014911908,-1.56549806864679,NaN
1,8,0.4,1.77222944227927,0.0764300484350562,-1.54878587830148,143.243572332001
1,8,0.5,1.86155902757956,0.0782102519389617,-1.56913885189084,307.632760602797
1,9,0,1.71113708864249,0.111892784112874,-1.57031893124015,18.7476300225387
1,9,0.1,1.73602609041168,0.141914631401809,-1.56942695430212,75.7295867361853
1,9,0.2,1.82795019241778,0.111081231314443,-1.55005595367913,60.9829010795219
1,9,0.3,1.85514225153892,0.0506561835913955,-1.5655667445042,72.0909422568901
1,9,0.4,1.94262230570131,0.0920853953996734,-1.58936979477513,133.466070203918
1,9,0.5,1.91447483200676,0.139169495785606,-1.55757982365545,68.0980091447755
1,10,0,1.6017474528911,0.17394457342583,-1.57408033843273,21.4002265910592
1,10,0.1,1.65873909986898,0.127925787616025,-1.55402576132889,NaN
1,10,0.2,1.72807553664437,0.0896030779592704,-1.56196175362664,75.2568428743098
1,10,0.3,1.71427345885695,0.0568453379733106,-1.56056856135834,18.3250544475809
